,Ankanam,Acre,Are,Bigha – Assam,Bigha –  Bengal,Bigha – Pucca-Bihar,Bigha – Pucca-UP-I,Bigha-Pucca-Rajasthan-I,Bigha-Pucca-Punjab-I,Bigha – Pucca-Haryana-I,Bigha Gujarat,Bigha-Rajasthan-II, Bigha HP-I, Bigha HP-II, Bigha-Uttarakhand I,Bigha-Uttarakhand-II,Bigha (MP),Bigha- Kachha-Punjab-II,Bigha- Kachha- Haryana-II,Bigha- Kachha-UP-II,Biswa – Pucca-UP-I,Biswa – Pucca-Rajasthan-I,Biswa – Pucca- Punjab-I,Biswa – Pucca-Haryana-I,Biswa – Rajasthan II,Biswa-HP-I,Biswa-Uttarakhand-I,Biswa-HP-II,Biswa-Uttarakhand-II,Biswa (Kaccha) –Punjab-II,Biswa (Kaccha) – Haryana-II,Biswa (Kaccha) – UP-II,Centiare, Cent,Chatak,Decimal,Dhur-Bihar,Dhur-Jharkhand, Dhur-Tripura,Ghumaon,Ground,Guntha,Hectare,Kanal, Kattha-Assam, Kattha-Bengal, Kattha-Bihar, Kattha-MP, Killa, Kranta, Kuncham, Lecha, Marla, Murabba, Nalli, Perch, Rood, Sarsahi (Square Karam), Shatak, Square Centimeters, Square Feet, Square Inch, Square Kilometer, Square Meter, Square Mile, Square Yard, Unwasi (एक उनवांसी), kachwansi (एक कचवांसी)
Ankanam,1,0.001652892562,0.06689025353,0.005,0.005,0.002644628099,0.002644628099,0.002644628099,0.002644628099,0.002644628099,0.004132231405,0.004132231405,0.00826446281,0.008888888889,0.00826446281,0.008888888889,0.006000015,0.007933910525,0.007933910525,0.007933910525,0.05289256198,0.05289256198,0.05289256198,0.05289256198,0.0826446281,0.1652892562,0.1652892562,0.1777777778,0.1777777778,0.1586766368,0.1586766368,0.1586766368,6.689025353,0.1652892562,1.6,0.1652892562,1.05785124,1.05785124,20,0.001652892562,0.03,0.06611570248,0.0006689025353,0.0132231405,0.025,0.1,0.05289256198,0.12,0.001652892562,1,0.01652892562,0.5,0.2644628099,0.00006611570248,0.03333333333,0.2644628099,0.006611570248,2.380165289,0.1652892562,66890.25353,72,10368.00664,0.00000668901888,6.689018878,0.000002582644628,8,423.1404959,21.15702479
Acre,605,1,40.46860339,3.025,3.025,1.6,1.6,1.6,1.6,1.6,2.5,2.5,5,5.377777778,5,5.377777778,3.630009075,4.800015868,4.800015868,4.800015868,32,32,32,32,50,100,100,107.5555556,107.5555556,95.99936529,95.99936529,95.99936529,4046.860339,100,968,100,640,640,12100,1,18.15,40,0.4046860339,8,15.125,60.5,32,72.6,1,605,10,302.5,160,0.04,20.16666667,160,4,1440,100,40468603.39,43560,6272644.014,0.004046856422,4046.856421,0.0015625,4840,256000,12800
Are,14.94986111,0.02471051423,1,0.07474930556,0.07474930556,0.03953682277,0.03953682277,0.03953682277,0.03953682277,0.03953682277,0.06177628558,0.06177628558,0.1235525712,0.1328876543,0.1235525712,0.1328876543,0.08969939092,0.1186108604,0.1186108604,0.1186108604,0.7907364555,0.7907364555,0.7907364555,0.7907364555,1.235525712,2.471051423,2.471051423,2.657753086,2.657753086,2.372193682,2.372193682,2.372193682,100,2.471051423,23.91977778,2.471051423,15.81472911,15.81472911,298.9972222,0.02471051423,0.4484958333,0.9884205693,0.01,0.1976841139,0.3737465278,1.494986111,0.7907364555,1.793983333,0.02471051423,14.94986111,0.2471051423,7.474930556,3.953682277,0.0009884205693,0.4983287037,3.953682277,0.09884205693,35.5831405,2.471051423,1000000,1076.39,155000.2592,0.00009999990323,99.9999032,0.00003861017849,119.5988889,6325.891644,316.2945822
Bigha – Assam,200,0.3305785124,13.37805071,1,1,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.826446281,0.826446281,1.652892562,1.777777778,1.652892562,1.777777778,1.200003,1.586782105,1.586782105,1.586782105,10.5785124,10.5785124,10.5785124,10.5785124,16.52892562,33.05785124,33.05785124,35.55555556,35.55555556,31.73532737,31.73532737,31.73532737,1337.805071,33.05785124,320,33.05785124,211.5702479,211.5702479,4000,0.3305785124,6,13.2231405,0.1337805071,2.644628099,5,20,10.5785124,24,0.3305785124,200,3.305785124,100,52.89256198,0.0132231405,6.666666667,52.89256198,1.32231405,476.0330579,33.05785124,13378050.71,14400,2073601.327,0.001337803776,1337.803776,0.0005165289256,1600,84628.09917,4231.404959
Bigha –  Bengal,200,0.3305785124,13.37805071,1,1,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.5289256198,0.826446281,0.826446281,1.652892562,1.777777778,1.652892562,1.777777778,1.200003,1.586782105,1.586782105,1.586782105,10.5785124,10.5785124,10.5785124,10.5785124,16.52892562,33.05785124,33.05785124,35.55555556,35.55555556,31.73532737,31.73532737,31.73532737,1337.805071,33.05785124,320,33.05785124,211.5702479,211.5702479,4000,0.3305785124,6,13.2231405,0.1337805071,2.644628099,5,20,10.5785124,24,0.3305785124,200,3.305785124,100,52.89256198,0.0132231405,6.666666667,52.89256198,1.32231405,476.0330579,33.05785124,13378050.71,14400,2073601.327,0.001337803776,1337.803776,0.0005165289256,1600,84628.09917,4231.404959
Bigha – Pucca-Bihar,378.125,0.625,25.29287712,1.890625,1.890625,1,1,1,1,1,1.5625,1.5625,3.125,3.361111111,3.125,3.361111111,2.268755672,3.000009917,3.000009917,3.000009917,20,20,20,20,31.25,62.5,62.5,67.22222222,67.22222222,59.99960331,59.99960331,59.99960331,2529.287712,62.5,605,62.5,400,400,7562.5,0.625,11.34375,25,0.2529287712,5,9.453125,37.8125,20,45.375,0.625,378.125,6.25,189.0625,100,0.025,12.60416667,100,2.5,900,62.5,25292877.12,27225,3920402.509,0.002529285264,2529.285263,0.0009765625,3025,160000,8000
Bigha – Pucca-UP-I,378.125,0.625,25.29287712,1.890625,1.890625,1,1,1,1,1,1.5625,1.5625,3.125,3.361111111,3.125,3.361111111,2.268755672,3.000009917,3.000009917,3.000009917,20,20,20,20,31.25,62.5,62.5,67.22222222,67.22222222,59.99960331,59.99960331,59.99960331,2529.287712,62.5,605,62.5,400,400,7562.5,0.625,11.34375,25,0.2529287712,5,9.453125,37.8125,20,45.375,0.625,378.125,6.25,189.0625,100,0.025,12.60416667,100,2.5,900,62.5,25292877.12,27225,3920402.509,0.002529285264,2529.285263,0.0009765625,3025,160000,8000
Bigha-Pucca-Rajasthan-I,378.125,0.625,25.29287712,1.890625,1.890625,1,1,1,1,1,1.5625,1.5625,3.125,3.361111111,3.125,3.361111111,2.268755672,3.000009917,3.000009917,3.000009917,20,20,20,20,31.25,62.5,62.5,67.22222222,67.22222222,59.99960331,59.99960331,59.99960331,2529.287712,62.5,605,62.5,400,400,7562.5,0.625,11.34375,25,0.2529287712,5,9.453125,37.8125,20,45.375,0.625,378.125,6.25,189.0625,100,0.025,12.60416667,100,2.5,900,62.5,25292877.12,27225,3920402.509,0.002529285264,2529.285263,0.0009765625,3025,160000,8000
Bigha-Pucca-Punjab-I,378.125,0.625,25.29287712,1.890625,1.890625,1,1,1,1,1,1.5625,1.5625,3.125,3.361111111,3.125,3.361111111,2.268755672,3.000009917,3.000009917,3.000009917,20,20,20,20,31.25,62.5,62.5,67.22222222,67.22222222,59.99960331,59.99960331,59.99960331,2529.287712,62.5,605,62.5,400,400,7562.5,0.625,11.34375,25,0.2529287712,5,9.453125,37.8125,20,45.375,0.625,378.125,6.25,189.0625,100,0.025,12.60416667,100,2.5,900,62.5,25292877.12,27225,3920402.509,0.002529285264,2529.285263,0.0009765625,3025,160000,8000
Bigha – Pucca-Haryana-I,378.125,0.625,25.29287712,1.890625,1.890625,1,1,1,1,1,1.5625,1.5625,3.125,3.361111111,3.125,3.361111111,2.268755672,3.000009917,3.000009917,3.000009917,20,20,20,20,31.25,62.5,62.5,67.22222222,67.22222222,59.99960331,59.99960331,59.99960331,2529.287712,62.5,605,62.5,400,400,7562.5,0.625,11.34375,25,0.2529287712,5,9.453125,37.8125,20,45.375,0.625,378.125,6.25,189.0625,100,0.025,12.60416667,100,2.5,900,62.5,25292877.12,27225,3920402.509,0.002529285264,2529.285263,0.0009765625,3025,160000,8000
